ancien_nom,nouveau_nom,url
DALL·E 2024-11-25 17.24.31 - A historical depiction of the first issuance of green bonds in the early 21st century. The scene shows a financial conference room with environmental .webp,dalle_2024_11_25_172431_c3572e8b.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172431_c3572e8b.webp
DALL·E 2024-11-25 17.25.00 - A historical depiction of the Latin American debt crisis in the 1980s. The scene shows a government official in a conference room with economic adviso.webp,dalle_2024_11_25_172500_40f82acf.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172500_40f82acf.webp
DALL·E 2024-11-25 17.25.02 - A historical depiction of the Asian financial crisis of the late 1990s. The scene shows a busy financial district with people anxiously watching stock.webp,dalle_2024_11_25_172502_178296a8.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172502_178296a8.webp
DALL·E 2024-11-25 17.25.07 - A historical depiction of the nationalization of the Bank of France in the mid-20th century. The scene captures a formal meeting room with high-rankin.webp,dalle_2024_11_25_172507_da3ab25e.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172507_da3ab25e.webp
DALL·E 2024-11-25 17.25.09 - A historical depiction of the Glass-Steagall Act being signed into law in the 1930s United States. The scene captures a formal office with government .webp,dalle_2024_11_25_172509_d7249e0d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172509_d7249e0d.webp
DALL·E 2024-11-25 17.25.16 - A historical depiction of the foundation of the East India Company in the early 17th century. The scene shows merchants and officials in a grand colon.webp,dalle_2024_11_25_172516_d928ee04.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172516_d928ee04.webp
DALL·E 2024-11-25 17.25.18 - A historical depiction of the creation of the World Bank in the mid-1940s. The scene features an international conference setting with delegates from .webp,dalle_2024_11_25_172518_c5897582.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172518_c5897582.webp
DALL·E 2024-11-25 17.25.26 - A historical depiction of the creation of NASDAQ in the early 1970s. The scene captures a modern trading floor with electronic screens displaying stoc.webp,dalle_2024_11_25_172526_610950cf.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172526_610950cf.webp
DALL·E 2024-11-25 17.25.32 - A historical depiction of the Marshall Plan in the late 1940s. The scene shows a meeting of European officials with representatives from the United St.webp,dalle_2024_11_25_172532_d3badeb9.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172532_d3badeb9.webp
DALL·E 2024-11-25 17.25.34 - A historical depiction of the creation of the London Stock Exchange in the late 17th century. The scene captures brokers and merchants gathered in a c.webp,dalle_2024_11_25_172534_ec237727.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172534_ec237727.webp
DALL·E 2024-11-25 17.25.41 - A historical depiction of the creation of the first central bank in Sweden during the 17th century. The scene features an interior of a grand hall wit.webp,dalle_2024_11_25_172541_51bbdca0.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172541_51bbdca0.webp
DALL·E 2024-11-25 17.25.46 - A historical depiction of the devaluation of the Franc during Mendès France's administration in the mid-20th century. The scene captures a tense gover.webp,dalle_2024_11_25_172546_a8e7cd1f.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172546_a8e7cd1f.webp
DALL·E 2024-11-25 17.25.48 - A historical depiction of the creation of the World Trade Organization (WTO) in 1995. The scene features an international meeting with delegates from .webp,dalle_2024_11_25_172548_c8f2d706.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172548_c8f2d706.webp
"DALL·E 2024-11-25 17.25.56 - A historical depiction of the 1973 oil crisis. The scene shows a long queue of cars at a gas station with limited fuel availability, capturing the anx.webp",dalle_2024_11_25_172556_179fc0e6.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172556_179fc0e6.webp
DALL·E 2024-11-25 17.25.59 - A historical representation of the introduction of the Euro as a single currency in the early 2000s. The scene depicts an official ceremony with flags.webp,dalle_2024_11_25_172559_53dfbf6f.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172559_53dfbf6f.webp
DALL·E 2024-11-25 17.26.08 - A historical depiction of the abolition of the Corn Laws in England during the 1840s. The scene shows a parliamentary debate with individuals passiona.webp,dalle_2024_11_25_172608_24340cc7.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172608_24340cc7.webp
DALL·E 2024-11-25 17.26.19 - A historical representation of the 2008 subprime mortgage crisis. The scene features a modern financial district with towering skyscrapers and a drama.webp,dalle_2024_11_25_172619_1a8b2754.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172619_1a8b2754.webp
DALL·E 2024-11-25 17.26.21 - A historical depiction of the founding of the Bank of England in 1694. The scene shows an ornate meeting hall with prominent figures discussing the es.webp,dalle_2024_11_25_172621_adaa7fe5.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172621_adaa7fe5.webp
DALL·E 2024-11-25 17.26.29 - A historical depiction of the creation of the International Monetary Fund (IMF) in 1944. The scene captures an international conference room with repr.webp,dalle_2024_11_25_172629_c5732bd9.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172629_c5732bd9.webp
DALL·E 2024-11-25 17.26.31 - A historical depiction of the introduction of the US dollar in 1792. The scene features a colonial-era setting with individuals examining newly minted.webp,dalle_2024_11_25_172631_9504b623.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172631_9504b623.webp
"DALL·E 2024-11-25 17.26.38 - A historical scene representing the first use of credit cards in the 1950s. The setting shows a vintage diner or a retail store, where a customer is h.webp",dalle_2024_11_25_172638_cb4248ea.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172638_cb4248ea.webp
"DALL·E 2024-11-25 17.26.40 - A powerful depiction of the Great Depression during the 1930s. The scene shows a desolate urban street with unemployed workers, closed factories, and .webp",dalle_2024_11_25_172640_163c1c32.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172640_163c1c32.webp
DALL·E 2024-11-25 17.26.46 - A historical scene depicting the introduction of Treasury Bonds in the United States in the early 20th century. The setting includes a bustling financ.webp,dalle_2024_11_25_172646_11c1df89.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_25_172646_11c1df89.webp
