ancien_nom,nouveau_nom,url
"DALL·E 2024-11-23 07.56.14 - A bright Renaissance-era studio in Venice where Titian is painting _The Assumption of the Virgin_. The focus is on the vibrant pigments, assistants pr.webp",dalle_2024_11_23_075614_11990b9c.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075614_11990b9c.webp
"DALL·E 2024-11-23 07.56.21 - A serene countryside at night, where Vincent van Gogh is seen sketching under a swirling, star-filled sky. The focus is on the natural setting and the.webp",dalle_2024_11_23_075621_274c16f6.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075621_274c16f6.webp
"DALL·E 2024-11-23 07.56.28 - The Louvre Abu Dhabi at sunset, with its iconic domed architecture casting intricate geometric shadows on the ground. Visitors are seen exploring the .webp",dalle_2024_11_23_075628_d531cf7c.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075628_d531cf7c.webp
"DALL·E 2024-11-23 07.56.35 - A contemporary art gallery at the Tate Modern, filled with visitors observing large-scale installations and sculptures during Damien Hirst's retrospec.webp",dalle_2024_11_23_075635_9691698b.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075635_9691698b.webp
"DALL·E 2024-11-23 07.56.46 - A grand hall in 18th-century London, where artists and patrons gather to celebrate the founding of the Royal Academy of Arts. The focus is on the orna.webp",dalle_2024_11_23_075646_8895fd30.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075646_8895fd30.webp
"DALL·E 2024-11-23 07.56.52 - A 19th-century artist's studio overlooking a stormy sea, where J.M.W. Turner paints a dramatic marine scene. The focus is on the environment and the a.webp",dalle_2024_11_23_075652_e66dbe17.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075652_e66dbe17.webp
DALL·E 2024-11-23 07.56.58 - A serene Parisian garden in the 19th century where Édouard Manet presents his painting _Le Déjeuner sur l'herbe_. The focus is on the lively gathering.webp,dalle_2024_11_23_075658_e00209c2.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075658_e00209c2.webp
"DALL·E 2024-11-23 07.57.05 - A surrealist artist's studio filled with dreamlike objects like melting clocks and bizarre sculptures, symbolizing the beginning of Salvador Dalí's su.webp",dalle_2024_11_23_075705_2a7d9527.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075705_2a7d9527.webp
"DALL·E 2024-11-23 07.57.11 - Cloud Gate by Anish Kapoor being installed in a vibrant urban park. The reflective surface shows a distorted cityscape and curious onlookers, with a f.webp",dalle_2024_11_23_075711_3d38f06f.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075711_3d38f06f.webp
"DALL·E 2024-11-23 07.57.19 - The Centre Pompidou in Paris during its grand opening, showcasing its bold industrial design. Visitors explore the building and its modern installatio.webp",dalle_2024_11_23_075719_765f2b3e.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075719_765f2b3e.webp
"DALL·E 2024-11-23 07.57.25 - A modern architectural masterpiece, the Vitra Fire Station by Zaha Hadid, set against a minimalist industrial landscape. The focus is on the building'.webp",dalle_2024_11_23_075725_eddb764f.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075725_eddb764f.webp
"DALL·E 2024-11-23 07.57.34 - A nighttime view of the Louvre in Paris, highlighting the illuminated glass pyramid designed by I.M. Pei. The focus is on the modern architecture of t.webp",dalle_2024_11_23_075734_129c63b2.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075734_129c63b2.webp
"DALL·E 2024-11-23 07.57.41 - An aerial view of Renaissance-era Rome, showcasing the Sistine Chapel prominently among other historical buildings. The focus is on the architecture, .webp",dalle_2024_11_23_075741_986f9688.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075741_986f9688.webp
"DALL·E 2024-11-23 07.57.56 - An urban gallery with a gritty, underground atmosphere, featuring visitors observing satirical installations and parodies of famous artworks. The focu.webp",dalle_2024_11_23_075756_9f22fd19.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075756_9f22fd19.webp
"DALL·E 2024-11-23 07.58.09 - A 17th-century illuminated hall in Amsterdam, with citizens gathered to admire a monumental painting being unveiled. The focus is on the crowd's react.webp",dalle_2024_11_23_075809_c367cb20.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075809_c367cb20.webp
"DALL·E 2024-11-23 07.58.19 - A bustling Parisian gallery in 1874, filled with elegantly dressed visitors admiring and discussing paintings. The focus is on the lively atmosphere a.webp",dalle_2024_11_23_075819_76b8679b.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075819_76b8679b.webp
"DALL·E 2024-11-23 07.58.26 - A 16th-century artist's studio illuminated by natural light, with Pieter Bruegel the Elder surrounded by sketches, tools, and natural pigments. The pa.webp",dalle_2024_11_23_075826_51436faa.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075826_51436faa.webp
"DALL·E 2024-11-23 07.59.06 - A bustling Parisian gallery in 1874, illuminated by natural light, where elegantly dressed visitors discuss impressionist paintings. In the background.webp",dalle_2024_11_23_075906_7b93f895.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_23_075906_7b93f895.webp
